RECID|RTYPE|DOCNO|PRDCD|SINGKAT|DIV|QTY|TOKO|TGL_PB|PKM_AKH|MINOR|GUDANG
T|P|TM4J000268|20114257|LABEL THERMAL 3X2|40|2|TM4J|07-11-2023|3|1|G244
T|P|TM4J000268|20118156|ROLL STRUK LABEL BC|40|4|TM4J|07-11-2023|5|2|G244
T|P|TM4J000268|20118157|ROLL STRUK EDC BCA|40|4|TM4J|07-11-2023|5|2|G244
T|P|TM4J000268|20118158|ROLL STRK EDC WDCARD|40|4|TM4J|07-11-2023|5|2|G244
T|P|TM4J000268|20118159|KNTONG PL SMPH 50X70|40|36|TM4J|07-11-2023|37|36|G244
T|P|TM4J000268|20118160|KNTNG PL SMPH 90X120|40|20|TM4J|07-11-2023|21|20|G244
T|P|TM4J000268|20118161|PRICE TAG PUTIH N222|40|200|TM4J|07-11-2023|600|200|G244
T|P|TM4J000268|20118163|PRICE TAG PROMO N338|40|0|TM4J|07-11-2023|400|200|G244
T|P|TM4J000268|20118165|ROLL STRK PRNTR TRML|40|0|TM4J|07-11-2023|20|10|G244
T|P|TM4J000268|20118166|EPSON RBN/CRTD LX310|40|2|TM4J|07-11-2023|2|1|G244
T|P|TM4J000268|20118167|PITA.PRTR RFIL LX310|40|4|TM4J|07-11-2023|4|2|G244
T|P|TM4J000268|20118169|KERTAS 1 PLY N101|40|1|TM4J|07-11-2023|1|1|G244
T|P|TM4J000268|20118173|TL.RAPIA GL 1KG N402|40|1|TM4J|07-11-2023|1|1|G244
T|P|TM4J000268|20130428|IDM DUCT TAPE KLIK|40|2|TM4J|07-11-2023|2|1|G244
T|P|TM4J000268|20131479|ROLL STRK EDC MTI|40|10|TM4J|07-11-2023|10|0|G244
T|P|TM4J000268|20131747|KARET GELANG|40|2|TM4J|07-11-2023|2|1|G244
T|P|TM4J000268|20131748|KABEL TIES|40|2|TM4J|07-11-2023|2|1|G244
